priority,collection,scope,source_authority,target_directory,copyright_gate,status,next_action
P1,全国统考真题,2019-2026语文数学外语,教育部教育考试院,03_national_papers,确认官方公开范围,SOURCE_VERIFICATION_REQUIRED,逐年核验试卷答案和评析的官方URL
P1,高考评价资料,命题评价与官方评析,教育部教育考试院,08_official_reviews,仅收录官方公开资料,SOURCE_VERIFICATION_REQUIRED,登记发布日期和适用年份
P1,浙江选择性考试,政治历史地理物理化学生物信息技术通用技术,浙江省教育考试院,04_provincial_papers,确认官方公开范围,SOURCE_VERIFICATION_REQUIRED,按科目和年份建立来源清单
P1,山东选择性考试,物理化学生物政治历史地理,山东省教育招生考试院,04_provincial_papers,确认官方公开范围,SOURCE_VERIFICATION_REQUIRED,按科目和年份建立来源清单
P1,江苏选择性考试,物理历史政治地理化学生物,江苏省教育考试院,04_provincial_papers,确认官方公开范围,SOURCE_VERIFICATION_REQUIRED,按首选和再选科目建库
P1,河北选择性考试,物理历史政治地理化学生物,河北省教育考试院,04_provincial_papers,确认官方公开范围,SOURCE_VERIFICATION_REQUIRED,按首选和再选科目建库
P1,福建选择性考试,物理历史政治地理化学生物,福建省教育考试院,04_provincial_papers,确认官方公开范围,SOURCE_VERIFICATION_REQUIRED,按首选和再选科目建库
P1,湖北选择性考试,物理历史政治地理化学生物,湖北省教育考试院,04_provincial_papers,确认官方公开范围,SOURCE_VERIFICATION_REQUIRED,按首选和再选科目建库
P1,湖南选择性考试,物理历史政治地理化学生物,湖南省教育考试院,04_provincial_papers,确认官方公开范围,SOURCE_VERIFICATION_REQUIRED,按首选和再选科目建库
P1,广东选择性考试,物理历史政治地理化学生物,广东省教育考试院,04_provincial_papers,确认官方公开范围,SOURCE_VERIFICATION_REQUIRED,按首选和再选科目建库
P1,江西选择性考试,物理历史政治地理化学生物,江西省教育考试院,04_provincial_papers,确认官方公开范围,SOURCE_VERIFICATION_REQUIRED,按首选和再选科目建库
P1,安徽选择性考试,物理历史政治地理化学生物,安徽省教育招生考试院,04_provincial_papers,确认官方公开范围,SOURCE_VERIFICATION_REQUIRED,按首选和再选科目建库
P1,河南选择性考试,物理历史政治地理化学生物,河南省教育考试院,04_provincial_papers,确认官方公开范围,SOURCE_VERIFICATION_REQUIRED,按首选和再选科目建库
P2,省级评分细则,11省选择性考试,各省教育考试院,07_scoring_rules,评分材料须有官方出处,SOURCE_VERIFICATION_REQUIRED,与试卷版本和年份绑定
P2,教材正文,11科实际教学版本,出版社或学校授权,05_textbooks,须允许解析向量化和展示,AUTHORIZATION_REQUIRED,采集版权页并签署授权记录
P2,教师用书,与已确认教材版本一致,出版社或学校授权,06_teacher_guides,须取得数字化授权,AUTHORIZATION_REQUIRED,不得以网络扫描版替代授权
P3,校本资料,目标学校教研组,学校授权,09_teaching_materials,明确使用与保存范围,AUTHORIZATION_REQUIRED,脱敏并记录负责人和到期日
P3,学生错题,单个学生私有数据,学生和监护人授权,12_student_private,隐私同意与删除机制,AUTHORIZATION_REQUIRED,禁止进入公共索引
