学科,文件名,页数,材料类型,来源机构/文献,来源定位,原始来源链接,相对路径
语文,01_高中语文大单元教学的实施路径.pdf,4,高校/人教社公开教学设计与实践研究,安徽师范大学文学院或人民教育出版社公开资料,完整公开PDF,https://wxy.ahnu.edu.cn/__local/D/9C/4F/1F2BB6F1237EF4FA24DB47658AC_DFCED9F9_908AE.pdf,01_语文/01_高中语文大单元教学的实施路径.pdf
语文,02_深度阅读教学路径的实践探索_以祝福为例.pdf,5,高校/人教社公开教学设计与实践研究,安徽师范大学文学院或人民教育出版社公开资料,完整公开PDF,https://wxy.ahnu.edu.cn/__local/B/9C/5D/552A4780EF52FBAF3206E358678_F755E4C2_B04A8.pdf,01_语文/02_深度阅读教学路径的实践探索_以祝福为例.pdf
语文,03_高中语文读写联通教学样态与实践研究.pdf,7,高校/人教社公开教学设计与实践研究,安徽师范大学文学院或人民教育出版社公开资料,完整公开PDF,https://www.pep.com.cn/bks/zxxjcjx/jcb/202504/W020250417344927557225.pdf,01_语文/03_高中语文读写联通教学样态与实践研究.pdf
数学,01_函数单调性概念的抽象过程.pdf,3,教育部课程标准附录教学案例/教学设计,教育部《普通高中课程方案和各学科课程标准（2017年版2020年修订）》,《普通高中数学课程标准》PDF第121-123页（按案例边界裁切）,https://www.moe.gov.cn/srcsite/A26/s8001/202006/t20200603_462199.html,02_数学/01_函数单调性概念的抽象过程.pdf
数学,02_测量学校内外建筑物高度.pdf,5,教育部课程标准附录教学案例/教学设计,教育部《普通高中课程方案和各学科课程标准（2017年版2020年修订）》,《普通高中数学课程标准》PDF第140-144页（按案例边界裁切）,https://www.moe.gov.cn/srcsite/A26/s8001/202006/t20200603_462199.html,02_数学/02_测量学校内外建筑物高度.pdf
数学,03_函数单调性主题教学设计.pdf,4,教育部课程标准附录教学案例/教学设计,教育部《普通高中课程方案和各学科课程标准（2017年版2020年修订）》,《普通高中数学课程标准》PDF第179-182页（按案例边界裁切）,https://www.moe.gov.cn/srcsite/A26/s8001/202006/t20200603_462199.html,02_数学/03_函数单调性主题教学设计.pdf
英语,01_John_Snow_Defeats_King_Cholera教学案例.pdf,9,教育部课程标准附录教学案例/教学设计,教育部《普通高中课程方案和各学科课程标准（2017年版2020年修订）》,《普通高中英语课程标准》PDF第192-200页（按案例边界裁切）,https://www.moe.gov.cn/srcsite/A26/s8001/202006/t20200603_462199.html,03_英语/01_John_Snow_Defeats_King_Cholera教学案例.pdf
英语,02_Nature_Is_Turning_on_Us教学案例.pdf,14,教育部课程标准附录教学案例/教学设计,教育部《普通高中课程方案和各学科课程标准（2017年版2020年修订）》,《普通高中英语课程标准》PDF第200-213页（按案例边界裁切）,https://www.moe.gov.cn/srcsite/A26/s8001/202006/t20200603_462199.html,03_英语/02_Nature_Is_Turning_on_Us教学案例.pdf
英语,03_Happy_Learning_Healthy_Eating项目式教学案例.pdf,4,教育部课程标准附录教学案例/教学设计,教育部《普通高中课程方案和各学科课程标准（2017年版2020年修订）》,《普通高中英语课程标准》PDF第213-216页（按案例边界裁切）,https://www.moe.gov.cn/srcsite/A26/s8001/202006/t20200603_462199.html,03_英语/03_Happy_Learning_Healthy_Eating项目式教学案例.pdf
物理,01_追寻嫦娥一号的踪迹.pdf,5,教育部课程标准附录教学案例/教学设计,教育部《普通高中课程方案和各学科课程标准（2017年版2020年修订）》,《普通高中物理课程标准》PDF第90-94页（按案例边界裁切）,https://www.moe.gov.cn/srcsite/A26/s8001/202006/t20200603_462199.html,04_物理/01_追寻嫦娥一号的踪迹.pdf
物理,02_探究感应电流产生的条件.pdf,5,教育部课程标准附录教学案例/教学设计,教育部《普通高中课程方案和各学科课程标准（2017年版2020年修订）》,《普通高中物理课程标准》PDF第94-98页（按案例边界裁切）,https://www.moe.gov.cn/srcsite/A26/s8001/202006/t20200603_462199.html,04_物理/02_探究感应电流产生的条件.pdf
物理,03_平抛物体的运动_获奖教学设计.pdf,12,公开获奖教学设计（已移除无关联系方式）,华南师范大学砺儒云课堂公开资源,全国中小学教师教育技术能力建设计划优秀教学设计方案,https://moodle.scnu.edu.cn/mod/resource/view.php?id=26603,04_物理/03_平抛物体的运动_获奖教学设计.pdf
化学,01_氧化还原反应_证据链与模型建构_优化教学设计.pdf,6,对标获奖教案结构的原创优化教学设计（非获奖原件）,教育部课程标准、人民教育出版社/高校公开课程与竞赛片段,完整课时重构；含目标、学情、流程、评价、任务单与反思,https://www.moe.gov.cn/srcsite/A26/s8001/202006/t20200603_462199.html,05_化学/01_氧化还原反应_证据链与模型建构_优化教学设计.pdf
化学,02_二氧化硫的性质_实验探究与环境责任_优化教学设计.pdf,6,对标获奖教案结构的原创优化教学设计（非获奖原件）,教育部课程标准、人民教育出版社/高校公开课程与竞赛片段,完整课时重构；含目标、学情、流程、评价、任务单与反思,https://www.moe.gov.cn/srcsite/A26/s8001/202006/t20200603_462199.html,05_化学/02_二氧化硫的性质_实验探究与环境责任_优化教学设计.pdf
化学,03_化学反应速率_变量控制与数字化实验_优化教学设计.pdf,6,对标获奖教案结构的原创优化教学设计（非获奖原件）,教育部课程标准、人民教育出版社/高校公开课程与竞赛片段,完整课时重构；含目标、学情、流程、评价、任务单与反思,https://www.moe.gov.cn/srcsite/A26/s8001/202006/t20200603_462199.html,05_化学/03_化学反应速率_变量控制与数字化实验_优化教学设计.pdf
生物,01_基因突变_证据推理与模型建构_优化教学设计.pdf,6,对标获奖教案结构的原创优化教学设计（非获奖原件）,教育部课程标准、人民教育出版社/高校公开课程与竞赛片段,完整课时重构；含目标、学情、流程、评价、任务单与反思,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517519140545267.pdf,06_生物/01_基因突变_证据推理与模型建构_优化教学设计.pdf
生物,02_血糖平衡调节_稳态模型与健康决策_优化教学设计.pdf,6,对标获奖教案结构的原创优化教学设计（非获奖原件）,教育部课程标准、人民教育出版社/高校公开课程与竞赛片段,完整课时重构；含目标、学情、流程、评价、任务单与反思,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517519140545267.pdf,06_生物/02_血糖平衡调节_稳态模型与健康决策_优化教学设计.pdf
生物,03_兴奋在神经元之间的传递_结构功能观_优化教学设计.pdf,6,对标获奖教案结构的原创优化教学设计（非获奖原件）,教育部课程标准、人民教育出版社/高校公开课程与竞赛片段,完整课时重构；含目标、学情、流程、评价、任务单与反思,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517519140545267.pdf,06_生物/03_兴奋在神经元之间的传递_结构功能观_优化教学设计.pdf
思想政治,01_市场配置资源_议题式教学_优化教学设计.pdf,6,对标获奖教案结构的原创优化教学设计（非获奖原件）,教育部课程标准、人民教育出版社/高校公开课程与竞赛片段,完整课时重构；含目标、学情、流程、评价、任务单与反思,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517519869509154.pdf,07_思想政治/01_市场配置资源_议题式教学_优化教学设计.pdf
思想政治,02_人民群众是历史的创造者_议题式教学_优化教学设计.pdf,6,对标获奖教案结构的原创优化教学设计（非获奖原件）,教育部课程标准、人民教育出版社/高校公开课程与竞赛片段,完整课时重构；含目标、学情、流程、评价、任务单与反思,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517519869509154.pdf,07_思想政治/02_人民群众是历史的创造者_议题式教学_优化教学设计.pdf
思想政治,03_坚持两点论与重点论的统一_议题式教学_优化教学设计.pdf,6,对标获奖教案结构的原创优化教学设计（非获奖原件）,教育部课程标准、人民教育出版社/高校公开课程与竞赛片段,完整课时重构；含目标、学情、流程、评价、任务单与反思,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517519869509154.pdf,07_思想政治/03_坚持两点论与重点论的统一_议题式教学_优化教学设计.pdf
历史,01_高中历史教学设计示例_课程标准附录.pdf,11,教育部课程标准附录教学案例/教学设计,教育部《普通高中课程方案和各学科课程标准（2017年版2020年修订）》,《普通高中历史课程标准》PDF第81-91页,https://www.moe.gov.cn/srcsite/A26/s8001/202006/t20200603_462199.html,08_历史/01_高中历史教学设计示例_课程标准附录.pdf
历史,02_指向深度学习的高中历史单元教学.pdf,6,人教社公开教学设计研究,人民教育出版社《中小学教材教学》公开资料,完整公开PDF,https://www.pep.com.cn/bks/zxxjcjx/jcb/202504/W020250415395080382146.pdf,08_历史/02_指向深度学习的高中历史单元教学.pdf
历史,03_高中历史教学的删繁就简之道.pdf,6,人教社公开教学设计研究,人民教育出版社《中小学教材教学》公开资料,完整公开PDF,https://www.pep.com.cn/bks/zxxjcjx/jcb/202504/W020250418402044592080.pdf,08_历史/03_高中历史教学的删繁就简之道.pdf
地理,01_地理问题式教学设计与实践案例.pdf,10,高校/人教社公开教学设计与实践案例,华东师范大学教师教育学院或人民教育出版社公开资料,专题文章（01从公开期刊中抽取对应文章第15-24页）,https://cte.ecnu.edu.cn/_upload/article/files/48/08/d696098b42099576a97cb6ff6d2e/2b479a9b-577c-4b20-8073-06739ebc94c1.pdf,09_地理/01_地理问题式教学设计与实践案例.pdf
地理,02_地理学科实践_学习方式变革的新向度.pdf,6,高校/人教社公开教学设计与实践案例,华东师范大学教师教育学院或人民教育出版社公开资料,完整公开PDF,https://www.pep.com.cn/bks/zxxjcjx/jcb/202506/W020250609588526890998.pdf,09_地理/02_地理学科实践_学习方式变革的新向度.pdf
地理,03_以强有力地理知识培育综合思维核心素养.pdf,8,高校/人教社公开教学设计与实践案例,华东师范大学教师教育学院或人民教育出版社公开资料,完整公开PDF,https://www.pep.com.cn/bks/zxxjcjx/jcb/202506/W020250624377530714301.pdf,09_地理/03_以强有力地理知识培育综合思维核心素养.pdf
