document_id,file_name,sha256,title,subject,province,exam_year,paper_type,document_type,publisher,edition,volume,isbn,authority_level,source_url,copyright_status,review_status,effective_date,expiry_date,page_count,ocr_required,version,file_size_bytes,download_date
DOC-NATIONAL-CURRICULUM-PLAN-2020,2020_国家_普通高中课程方案_官方_2017版2020修订.pdf,83f1822850bdb8e1512ed768a31b975fe4dd4d596a1cf16b5bbffa388d671c3a,普通高中课程方案（2017年版2020年修订）,all,national,,,CURRICULUM_PLAN,中华人民共和国教育部（人民教育出版社公开）,2017-2020,,,A,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517517917054840.pdf,OFFICIAL_PUBLIC,AUTO_EXTRACTED_REVIEW_REQUIRED,,,25,false,2017-2020,542523,2026-07-29
DOC-CS-CHINESE-2020,2020_国家_语文课程标准_官方_2017版2020修订.pdf,7a187079f1fffe8ae834fdeff25bac9dd0e7de6b979db40fd875786dc0365977,普通高中语文课程标准（2017年版2020年修订）,chinese,national,,,CURRICULUM_STANDARD,中华人民共和国教育部（人民教育出版社公开）,2017-2020,,,A,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517522412911080.pdf,OFFICIAL_PUBLIC,AUTO_EXTRACTED_REVIEW_REQUIRED,,,66,false,2017-2020,1410644,2026-07-29
DOC-CS-MATHEMATICS-2020,2020_国家_数学课程标准_官方_2017版2020修订.pdf,cc4d3a20daa09f5185037e93fbacd58f7df1147392e3dae4bf261c3700ba4195,普通高中数学课程标准（2017年版2020年修订）,mathematics,national,,,CURRICULUM_STANDARD,中华人民共和国教育部（人民教育出版社公开）,2017-2020,,,A,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517519489596282.pdf,OFFICIAL_PUBLIC,AUTO_EXTRACTED_REVIEW_REQUIRED,,,188,false,2017-2020,10450629,2026-07-29
DOC-CS-ENGLISH-2020,2020_国家_英语课程标准_官方_2017版2020修订.pdf,8ebd6bb12e9eb1c58e422ee01b540a4a71d2e681a4c4a764a36ee3a34b21c1be,普通高中英语课程标准（2017年版2020年修订）,english,national,,,CURRICULUM_STANDARD,中华人民共和国教育部（人民教育出版社公开）,2017-2020,,,A,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517522153664167.pdf,OFFICIAL_PUBLIC,AUTO_EXTRACTED_REVIEW_REQUIRED,,,220,false,2017-2020,7750611,2026-07-29
DOC-CS-POLITICS-2020,2020_国家_思想政治课程标准_官方_2017版2020修订.pdf,28533adf1e2193c9b5de3056a6a031598209c2bfca00e65ff89458ecc4481f7b,普通高中思想政治课程标准（2017年版2020年修订）,politics,national,,,CURRICULUM_STANDARD,中华人民共和国教育部（人民教育出版社公开）,2017-2020,,,A,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517519869509154.pdf,OFFICIAL_PUBLIC,AUTO_EXTRACTED_REVIEW_REQUIRED,,,71,false,2017-2020,1492954,2026-07-29
DOC-CS-HISTORY-2020,2020_国家_历史课程标准_官方_2017版2020修订.pdf,5906e55a4758c4446640db126564f535c845ba76df170714e739d97db6f36b97,普通高中历史课程标准（2017年版2020年修订）,history,national,,,CURRICULUM_STANDARD,中华人民共和国教育部（人民教育出版社公开）,2017-2020,,,A,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517518171679768.pdf,OFFICIAL_PUBLIC,AUTO_EXTRACTED_REVIEW_REQUIRED,,,91,false,2017-2020,2322402,2026-07-29
DOC-CS-GEOGRAPHY-2020,2020_国家_地理课程标准_官方_2017版2020修订.pdf,32ea1c9f794109cd729351fdba387c63f812f4f6131182a2370a0f5958fe7a3b,普通高中地理课程标准（2017年版2020年修订）,geography,national,,,CURRICULUM_STANDARD,中华人民共和国教育部（人民教育出版社公开）,2017-2020,,,A,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517516728907929.pdf,OFFICIAL_PUBLIC,AUTO_EXTRACTED_REVIEW_REQUIRED,,,67,false,2017-2020,1693184,2026-07-29
DOC-CS-PHYSICS-2020,2020_国家_物理课程标准_官方_2017版2020修订.pdf,a64204bc3b5532b44fbc82b560945d3df3c0bb081aa1d69df028a7591bb983f5,普通高中物理课程标准（2017年版2020年修订）,physics,national,,,CURRICULUM_STANDARD,中华人民共和国教育部（人民教育出版社公开）,2017-2020,,,A,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517520664858048.pdf,OFFICIAL_PUBLIC,AUTO_EXTRACTED_REVIEW_REQUIRED,,,98,false,2017-2020,2381875,2026-07-29
DOC-CS-CHEMISTRY-2020,2020_国家_化学课程标准_官方_2017版2020修订.pdf,589b296ef47fb3b221a08e616dcb8f19546ed9cf770bd5b5b991ba1d2008274f,普通高中化学课程标准（2017年版2020年修订）,chemistry,national,,,CURRICULUM_STANDARD,中华人民共和国教育部（人民教育出版社公开）,2017-2020,,,A,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517517668288401.pdf,OFFICIAL_PUBLIC,AUTO_EXTRACTED_REVIEW_REQUIRED,,,113,false,2017-2020,2848922,2026-07-29
DOC-CS-BIOLOGY-2020,2020_国家_生物学课程标准_官方_2017版2020修订.pdf,8408986334a8826e6c7e1486c1ef1430cf47ad9e10174fd08f65d590f4d302a4,普通高中生物学课程标准（2017年版2020年修订）,biology,national,,,CURRICULUM_STANDARD,中华人民共和国教育部（人民教育出版社公开）,2017-2020,,,A,https://www.pep.com.cn/xw/zt/rjwy/gzkb2020/202205/P020220517519140545267.pdf,OFFICIAL_PUBLIC,AUTO_EXTRACTED_REVIEW_REQUIRED,,,97,false,2017-2020,2189836,2026-07-29
