layer,scope,expected,current,status,quality_gate
官方课程方案,国家,1,1,BUILT,官方来源+SHA256+页码
学科课程标准,11科,11,11,BUILT,官方来源+版本隔离+页码
课程标准修订解读目录索引,国家,1,1,BUILT,仅作发现线索不视为文章全文
2025日常修订课标全文,国家及各学科,待官方发布核验,0,SOURCE_VERIFICATION_REQUIRED,不得由目录内容推断正文
高考评价框架,国家,1,1,BUILT,公开要点且保留原始URL
省份考试路由,新课标Ⅰ卷11省,11,11,BUILT,考试院URL+科目规则
教材版本目录,11科,11,11,BUILT,不含未授权正文
数学教材章序,人教A版与人教B版,2个已核验版本,2,BUILT,出版社官网目录+其他版本不得推断
课程知识分类,11科,11,11,BUILT,稳定模块ID+人工复核状态
全国统考真题,2019-2026语数外,24年科组合,0,PLANNED,官方试卷答案分离
省级选择性考试真题,11省各选考科目,按年动态,0,PLANNED,省份年份科目强过滤
评分细则,全国与11省,按年动态,0,PLANNED,官方出处+版本有效期
授权教材正文,学校实际版本,按用户确认,0,BLOCKED_BY_AUTHORIZATION,ISBN+授权凭证
学生私有知识,按用户授权,按用户动态,0,ISOLATED,加密+删除+不进公共索引
